#: table_doi: 10.17182/hepdata.86210.v1/t6
#: name: Table 6
#: description: Additional systematic error for pp data: +3.0 pct -3.0 pct
Additional systematic error for PBPB 0-5 pct data: +0.08 pct -0.08 pct
Additional systematic error for PBPB 5-10 pct data: +0.24 pct -0.24 pct
Additional systematic error for PBPB 10-20 pct data: +0.46 pct -0.46 pct
Additional systematic error for PBPB 20-30 pct data: +0.81 pct -0.81 pct
Additional systematic error for PBPB 30-40 pct data: +1.26 pct -1.26 pct
Additional systematic error for PBPB 40-50 pct data: +1.86 pct -1.86 pct
Additional systematic error for PBPB 50-60 pct data: +2.64 pct -2.64 pct
Additional systematic error for PBPB 60-70 pct data: +3.67 pct -3.67 pct
Additional systematic error for PBPB 70-80 pct data: +5.01 pct -5.01 pct.

#: data_file: Fig5.yaml
#: keyword reactions: P P --> CHARGED X : PB PB --> CHARGED X
#: keyword observables: SPECTRA RATIOS
#: keyword cmenergies: 5020 and 2760
#: CENT,,,-
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
40.0,30.0,50.0,2.561817,0.1639,-0.1639,0.17455,-0.17455

#: CENT,,,30-40 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
0.175,0.15,0.2,1.173489,0.00086652,-0.00086652,0.067067,-0.067067
0.225,0.2,0.25,1.181502,0.00050795,-0.00050795,0.04209,-0.04209
0.275,0.25,0.3,1.1752,0.00043267,-0.00043267,0.037559,-0.037559
0.32499999999999996,0.3,0.35,1.183075,0.00040801,-0.00040801,0.034114,-0.034114
0.375,0.35,0.4,1.192007,0.00040267,-0.00040267,0.038308,-0.038308
0.42500000000000004,0.4,0.45,1.198764,0.00040532,-0.00040532,0.040876,-0.040876
0.475,0.45,0.5,1.207314,0.00042418,-0.00042418,0.041926,-0.041926
0.525,0.5,0.55,1.214178,0.00045309,-0.00045309,0.040697,-0.040697
0.575,0.55,0.6,1.225259,0.00048491,-0.00048491,0.038694,-0.038694
0.625,0.6,0.65,1.230468,0.00052221,-0.00052221,0.037657,-0.037657
0.675,0.65,0.7,1.234002,0.00056303,-0.00056303,0.036519,-0.036519
0.725,0.7,0.75,1.238613,0.00060482,-0.00060482,0.034961,-0.034961
0.775,0.75,0.8,1.243411,0.00064967,-0.00064967,0.033861,-0.033861
0.825,0.8,0.85,1.252068,0.0007098,-0.0007098,0.033755,-0.033755
0.875,0.85,0.9,1.260952,0.0007717,-0.0007717,0.031856,-0.031856
0.925,0.9,0.95,1.271449,0.0008238,-0.0008238,0.02994,-0.02994
0.975,0.95,1.0,1.276531,0.00088975,-0.00088975,0.032135,-0.032135
1.05,1.0,1.1,1.292075,0.00068494,-0.00068494,0.032698,-0.032698
1.15,1.1,1.2,1.309274,0.00077049,-0.00077049,0.033783,-0.033783
1.2999999999999998,1.2,1.4,1.326882,0.00051075,-0.00051075,0.036377,-0.036377
